Matchday,Game ID,Home team,Away team,Home score,Away score
12,103,VfL Gummersbach,TV 05/07 Hüttenberg,28,25
12,104,Die Eulen Ludwigshafen,TSV Hannover-Burgdorf,21,27
12,105,SC DHfK Leipzig,Rhein-Neckar Löwen,23,29
12,106,MT Melsungen,HSG Wetzlar,29,22
12,107,TBV Lemgo,TSV GWD Minden,26,26
12,108,HC Erlangen,TuS N-Lübbecke,22,22
13,109,FRISCH AUF! Göppingen,SC Magdeburg,31,32
13,110,TSV GWD Minden,Füchse Berlin,29,37
13,111,SG Flensburg-Handewitt,TV 05/07 Hüttenberg,38,23
13,112,HSG Wetzlar,Die Eulen Ludwigshafen,30,21
13,113,THW Kiel,TBV Lemgo,29,19
13,114,SC Magdeburg,HC Erlangen,28,22
13,115,MT Melsungen,Rhein-Neckar Löwen,29,26
13,116,TSV Hannover-Burgdorf,TVB 1898 Stuttgart,27,20
13,117,SC DHfK Leipzig,FRISCH AUF! Göppingen,33,28
14,118,TuS N-Lübbecke,VfL Gummersbach,26,27
14,119,VfL Gummersbach,THW Kiel,31,27
14,120,SG Flensburg-Handewitt,SC Magdeburg,29,24
14,121,TBV Lemgo,TSV Hannover-Burgdorf,27,29
14,122,Die Eulen Ludwigshafen,SC DHfK Leipzig,21,35
14,123,FRISCH AUF! Göppingen,Rhein-Neckar Löwen,28,26
14,124,TV 05/07 Hüttenberg,TSV GWD Minden,26,30
14,125,HC Erlangen,MT Melsungen,23,23
14,126,TVB 1898 Stuttgart,TuS N-Lübbecke,28,29
15,127,Füchse Berlin,HSG Wetzlar,29,24
15,128,MT Melsungen,Die Eulen Ludwigshafen,25,19
15,129,TuS N-Lübbecke,FRISCH AUF! Göppingen,25,25
15,130,SC Magdeburg,TBV Lemgo,35,28
15,131,THW Kiel,TV 05/07 Hüttenberg,33,24
15,132,TSV GWD Minden,SG Flensburg-Handewitt,30,34
15,133,HSG Wetzlar,TVB 1898 Stuttgart,29,23
